Filename,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7,Labels
img (1).jpg,0.0007926901543193074,2.3320698066535802e-07,6.694580066109279e-12,4.448257523743731e-13,-2.4420900642773776e-25,-9.931358422817599e-17,-7.277383885150194e-25,A
img (2).jpg,0.0007926901543193074,2.3320698066535802e-07,6.694580066109279e-12,4.448257523743731e-13,-2.4420900642773776e-25,-9.931358422817599e-17,-7.277383885150194e-25,A
img (3).jpg,0.0007806748317732516,2.1616442787779368e-07,3.753412818045145e-12,2.5782622954476754e-13,-2.5571426064197877e-26,-3.327491821623876e-17,-2.523395022224459e-25,A
img (4).jpg,0.0007806748317732516,2.1616442787779368e-07,3.753412818045145e-12,2.5782622954476754e-13,-2.5571426064197877e-26,-3.327491821623876e-17,-2.523395022224459e-25,A
img (5).jpg,0.0007867833492322735,2.2533522174164909e-07,5.020384839186914e-12,3.764788904245517e-13,2.2863923883127674e-26,-3.0283204921657704e-17,-5.170770923157615e-25,A
img (6).jpg,0.0007867833492322735,2.2533522174164909e-07,5.020384839186914e-12,3.764788904245517e-13,2.2863923883127674e-26,-3.0283204921657704e-17,-5.170770923157615e-25,A
img (7).jpg,0.0007900088368902934,2.2935388735616782e-07,6.300376655663472e-12,7.632732605781833e-13,1.3284070943288869e-24,2.2245253665007873e-16,-1.0183015308218569e-24,A
img (8).jpg,0.0008055368127885073,2.506526745626806e-07,1.1809782476356604e-11,1.3841106009823596e-12,3.846256340929283e-24,3.0454451401068756e-16,-4.0646582634386926e-24,A
img (9).jpg,0.0008454596124957891,3.1140331900886364e-07,2.0222526359392848e-11,2.1816157782137022e-12,5.961742269779914e-24,1.1262787220662002e-16,-1.32073424606573e-23,A
img (10).jpg,0.0008496611354052106,3.1876680811232134e-07,2.0343645843181066e-11,2.42613688300364e-12,9.160269431700623e-24,2.9741850856390503e-16,-1.4373884723691893e-23,A
img (11).jpg,0.000905226314147304,4.1279993040638555e-07,2.6722599329190348e-11,2.8167181480387134e-12,4.069796117134296e-24,-2.8906632959001316e-16,-2.4096093857956464e-23,A
img (12).jpg,0.0010088502158470461,6.072143009074239e-07,3.6280846583591005e-11,3.5284198169829485e-12,-1.2236304648955197e-23,-1.4471920128296113e-15,-3.800020273202392e-23,A
img (13).jpg,0.0009767965277582774,5.467333430486723e-07,2.949154846226279e-11,2.780264921810768e-12,-7.414858350942352e-24,-1.035504251257248e-15,-2.4058793422084904e-23,A
img (14).jpg,0.0008455073361053509,3.165463349716663e-07,1.2408445728666917e-11,1.016410067653772e-12,-4.418330908449827e-25,-1.9038761234732244e-16,-3.582482213068986e-24,A
